name,prompt,negative_prompt
Quality,"masterpiece, best quality","(lowres, worst quality, low quality, normal quality)"
Default,"masterpiece, best quality","lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, normal quality, jpeg artifacts, signature, watermark, username, blurry,artist name"
NAiDefault,"masterpiece, best quality","text, lowres, cropped, worst quality, low quality, normal quality, jpeg artifacts, signature, watermark, username, blurry, bad anatomy, bad hands, error, missing fingers, extra digit, fewer digits, missing arms, long neck, Humpbacked"
HQ wallpaper,"masterpiece, best quality, 8k, finely detailed beautiful eyes, vividcolor, beautiful detailed face, Cinematic light, ray tracing, high resolution illustration, colorful, 8k wallpaper, highres",
delicate girl,an extremely delicate and beautiful girl,
Lens blur, "depth of field, blurry background, blurry foreground, ",
Face enhance,"delicate, beautiful, beautiful face, beautiful eyes, beautiful girl, delicate face, delicate girl,",
Picture enhance, "high resolution illustration, colorful, 8k wallpaper, highres",
Light enhance, "Cinematic light, ray tracing",
Enhanced details, "hyper detailed, ultra-detailed",
Negative extension,"artist name, twisted torso, (((fusion), extra, bad, fewer, missing), fist,clenched hand)"
Ultra-high detail,"8k wallpaper,(best quality:1.12),(detailed:1.12),(intricate:1.12),(ultra-detailed:1.12),(highres:1.12)",
Let go of the skirt,"","(grab clothes, grab dress, grab skirt)"
Hide palms,"","lower arms,hands,palms"
1,1,
Long T-shirt,"t-shirt, long t-shirt, narrow waist t-shirt, t-shirt over hips, short dress","bare, nafw, sagging breast, crop top"


